event_id,failed_logins,anomaly_score,severity_score,source_reputation,data_exfiltration_mb,geo_risk_score,alert_count,threat_level
THR-001,2,0.12,18,12,0.5,10,1,Low
THR-002,4,0.20,25,18,1.2,15,2,Low
THR-003,1,0.08,14,9,0.0,8,1,Low
THR-004,5,0.22,30,22,2.5,20,3,Low
THR-005,3,0.18,28,20,1.0,18,2,Low
THR-006,0,0.05,12,6,0.0,6,1,Low
THR-007,2,0.15,22,14,0.8,12,2,Low
THR-008,4,0.24,33,24,3.0,23,3,Low
THR-009,1,0.10,16,11,0.2,9,1,Low
THR-010,5,0.25,35,25,4.5,24,4,Low
THR-011,8,0.32,42,35,6.0,32,5,Medium
THR-012,12,0.45,55,48,12.0,45,7,Medium
THR-013,10,0.38,48,40,9.5,38,6,Medium
THR-014,14,0.52,60,55,18.0,52,8,Medium
THR-015,7,0.30,41,33,5.5,30,5,Medium
THR-016,16,0.58,63,58,22.0,56,9,Medium
THR-017,11,0.40,50,44,11.0,42,6,Medium
THR-018,9,0.35,46,39,8.0,36,6,Medium
THR-019,18,0.60,65,60,28.0,60,10,Medium
THR-020,15,0.55,58,52,20.0,54,8,Medium
THR-021,22,0.68,72,68,65.0,70,12,High
THR-022,28,0.75,80,75,90.0,78,15,High
THR-023,35,0.82,88,82,140.0,85,18,High
THR-024,40,0.90,94,90,220.0,92,22,High
THR-025,26,0.70,76,70,80.0,74,13,High
THR-026,30,0.78,84,78,120.0,82,17,High
THR-027,45,0.92,96,92,260.0,95,24,High
THR-028,50,0.95,98,95,320.0,97,28,High
THR-029,38,0.88,90,86,180.0,88,20,High
THR-030,60,0.94,97,94,400.0,96,30,High
