event_id,event_type,severity,severity_label,source,detections,timestamp,event_date,hour_utc,mitre_tactic,mitre_technique,attack_stage,target_system,organization_unit,origin_country,origin_lat,origin_lon,target_country,target_lat,target_lon,geo_risk_factor,risk_score,anomaly_flag
CTE-000003,phishing,2,Low,email,3,2025-10-13T01:31:00Z,2025-10-13,1,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Finance,Singapore,1.3521,103.8198,United Kingdom,55.3781,-3.436,1.08,30.84,False
CTE-000002,bruteforce,6,Medium,auth,4,2025-10-13T03:04:00Z,2025-10-13,3,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Privileged Console,Support,India,20.5937,78.9629,India,20.5937,78.9629,1.1,54.99,False
CTE-000005,malware,5,Medium,endpoint,2,2025-10-13T04:32:00Z,2025-10-13,4,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Support,South Africa,-30.5595,22.9375,Singapore,1.3521,103.8198,1.18,43.72,False
CTE-000004,ddos,10,Critical,network,3,2025-10-13T11:12:00Z,2025-10-13,11,Impact,T1498 - Network Denial of Service,Service Disruption,CDN Edge,Finance,China,35.8617,104.1954,United States,37.0902,-95.7129,1.2,70.14,False
CTE-000001,malware,10,Critical,endpoint,2,2025-10-13T18:34:00Z,2025-10-13,18,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Engineering,Germany,51.1657,10.4515,Singapore,1.3521,103.8198,1.03,71.74,False
CTE-000006,malware,10,Critical,endpoint,5,2025-10-13T19:58:00Z,2025-10-13,19,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Sales,Russia,61.524,105.3188,India,20.5937,78.9629,1.28,79.95,True
CTE-000007,malware,3,Low,endpoint,1,2025-10-14T05:53:00Z,2025-10-14,5,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Support,United States,37.0902,-95.7129,United States,37.0902,-95.7129,1.05,35.31,False
CTE-000012,malware,9,Critical,endpoint,3,2025-10-14T06:16:00Z,2025-10-14,6,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Support,Brazil,-14.235,-51.9253,India,20.5937,78.9629,1.16,58.16,False
CTE-000009,phishing,5,Medium,auth,3,2025-10-14T06:45:00Z,2025-10-14,6,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Support,China,35.8617,104.1954,United Kingdom,55.3781,-3.436,1.2,49.91,False
CTE-000017,ddos,7,High,network,4,2025-10-14T08:43:00Z,2025-10-14,8,Impact,T1498 - Network Denial of Service,Service Disruption,CDN Edge,Finance,United Kingdom,55.3781,-3.436,India,20.5937,78.9629,1.04,60.11,False
CTE-000013,bruteforce,7,High,auth,3,2025-10-14T13:07:00Z,2025-10-14,13,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Identity Provider,Engineering,Germany,51.1657,10.4515,Singapore,1.3521,103.8198,1.03,59.27,False
CTE-000008,malware,8,High,endpoint,4,2025-10-14T14:28:00Z,2025-10-14,14,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Support,Brazil,-14.235,-51.9253,India,20.5937,78.9629,1.16,61.48,False
CTE-000011,phishing,2,Low,email,1,2025-10-14T14:34:00Z,2025-10-14,14,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Support,United States,37.0902,-95.7129,India,20.5937,78.9629,1.05,32.73,False
CTE-000016,malware,9,Critical,endpoint,7,2025-10-14T16:06:00Z,2025-10-14,16,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Operations,United Kingdom,55.3781,-3.436,Germany,51.1657,10.4515,1.04,72.61,True
CTE-000010,phishing,4,Medium,email,1,2025-10-14T16:43:00Z,2025-10-14,16,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Sales,United States,37.0902,-95.7129,United States,37.0902,-95.7129,1.05,34.21,False
CTE-000014,phishing,5,Medium,email,1,2025-10-14T18:10:00Z,2025-10-14,18,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Finance,United States,37.0902,-95.7129,United States,37.0902,-95.7129,1.05,40.07,False
CTE-000015,malware,7,High,endpoint,3,2025-10-14T23:45:00Z,2025-10-14,23,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Executive,China,35.8617,104.1954,Germany,51.1657,10.4515,1.2,49.59,False
CTE-000026,phishing,3,Low,email,1,2025-10-15T00:09:00Z,2025-10-15,0,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Engineering,Brazil,-14.235,-51.9253,Australia,-25.2744,133.7751,1.16,36.7,False
CTE-000024,malware,3,Low,endpoint,1,2025-10-15T00:36:00Z,2025-10-15,0,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Executive,United States,37.0902,-95.7129,India,20.5937,78.9629,1.05,31.23,False
CTE-000019,bruteforce,7,High,auth,2,2025-10-15T00:53:00Z,2025-10-15,0,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Privileged Console,Executive,United Arab Emirates,23.4241,53.8478,United States,37.0902,-95.7129,1.12,54.51,False
CTE-000027,ransomware,8,High,network,5,2025-10-15T02:37:00Z,2025-10-15,2,Impact,T1486 - Data Encrypted for Impact,Data Encryption,Backup Repository,Engineering,Russia,61.524,105.3188,Germany,51.1657,10.4515,1.28,69.32,False
CTE-000020,phishing,3,Low,email,1,2025-10-15T03:38:00Z,2025-10-15,3,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Engineering,United Kingdom,55.3781,-3.436,Australia,-25.2744,133.7751,1.04,36.87,False
CTE-000023,malware,7,High,endpoint,3,2025-10-15T04:10:00Z,2025-10-15,4,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Engineering,Russia,61.524,105.3188,Singapore,1.3521,103.8198,1.28,51.43,False
CTE-000025,bruteforce,8,High,auth,4,2025-10-15T07:31:00Z,2025-10-15,7,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Privileged Console,Engineering,China,35.8617,104.1954,Australia,-25.2744,133.7751,1.2,55.24,False
CTE-000022,bruteforce,6,Medium,auth,3,2025-10-15T08:48:00Z,2025-10-15,8,Credential Access,T1110 - Brute Force,Account Takeover Attempt,VPN Gateway,Support,Germany,51.1657,10.4515,India,20.5937,78.9629,1.03,49.12,False
CTE-000018,malware,7,High,endpoint,1,2025-10-15T16:08:00Z,2025-10-15,16,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Engineering,Russia,61.524,105.3188,Australia,-25.2744,133.7751,1.28,49.11,False
CTE-000028,ddos,9,Critical,network,4,2025-10-15T20:49:00Z,2025-10-15,20,Impact,T1498 - Network Denial of Service,Service Disruption,Perimeter Gateway,Sales,United Kingdom,55.3781,-3.436,United States,37.0902,-95.7129,1.04,63.25,False
CTE-000021,malware,7,High,endpoint,5,2025-10-15T21:16:00Z,2025-10-15,21,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Operations,United Arab Emirates,23.4241,53.8478,India,20.5937,78.9629,1.12,67.74,False
CTE-000032,phishing,6,Medium,email,1,2025-10-16T00:10:00Z,2025-10-16,0,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Finance,China,35.8617,104.1954,India,20.5937,78.9629,1.2,51.13,False
CTE-000033,bruteforce,7,High,auth,4,2025-10-16T05:45:00Z,2025-10-16,5,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Privileged Console,Support,Germany,51.1657,10.4515,United Kingdom,55.3781,-3.436,1.03,60.34,False
CTE-000029,malware,6,Medium,endpoint,4,2025-10-16T08:35:00Z,2025-10-16,8,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Executive,South Africa,-30.5595,22.9375,United States,37.0902,-95.7129,1.18,49.4,False
CTE-000036,ransomware,10,Critical,endpoint,8,2025-10-16T11:03:00Z,2025-10-16,11,Impact,T1486 - Data Encrypted for Impact,Data Encryption,File Server,Engineering,Germany,51.1657,10.4515,Germany,51.1657,10.4515,1.03,87.05,True
CTE-000035,bruteforce,9,Critical,auth,1,2025-10-16T12:07:00Z,2025-10-16,12,Credential Access,T1110 - Brute Force,Account Takeover Attempt,VPN Gateway,Operations,China,35.8617,104.1954,United States,37.0902,-95.7129,1.2,64.11,False
CTE-000030,bruteforce,6,Medium,auth,1,2025-10-16T12:58:00Z,2025-10-16,12,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Identity Provider,Engineering,Russia,61.524,105.3188,India,20.5937,78.9629,1.28,42.88,False
CTE-000031,malware,8,High,endpoint,3,2025-10-16T17:39:00Z,2025-10-16,17,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Operations,South Africa,-30.5595,22.9375,India,20.5937,78.9629,1.18,55.81,False
CTE-000034,malware,4,Medium,endpoint,3,2025-10-16T20:00:00Z,2025-10-16,20,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Finance,China,35.8617,104.1954,Germany,51.1657,10.4515,1.2,41.24,False
CTE-000047,ddos,9,Critical,endpoint,1,2025-10-17T00:07:00Z,2025-10-17,0,Impact,T1498 - Network Denial of Service,Service Disruption,Perimeter Gateway,Support,Germany,51.1657,10.4515,India,20.5937,78.9629,1.03,66.34,False
CTE-000048,ransomware,10,Critical,endpoint,8,2025-10-17T01:22:00Z,2025-10-17,1,Impact,T1486 - Data Encrypted for Impact,Data Encryption,Backup Repository,Sales,Russia,61.524,105.3188,India,20.5937,78.9629,1.28,73.58,True
CTE-000038,ransomware,9,Critical,endpoint,4,2025-10-17T02:16:00Z,2025-10-17,2,Impact,T1486 - Data Encrypted for Impact,Data Encryption,Backup Repository,Executive,Germany,51.1657,10.4515,Germany,51.1657,10.4515,1.03,72.8,False
CTE-000046,malware,8,High,endpoint,5,2025-10-17T05:54:00Z,2025-10-17,5,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Support,Russia,61.524,105.3188,United Kingdom,55.3781,-3.436,1.28,60.45,False
CTE-000042,ddos,6,Medium,network,4,2025-10-17T07:32:00Z,2025-10-17,7,Impact,T1498 - Network Denial of Service,Service Disruption,Public API,Engineering,India,20.5937,78.9629,Germany,51.1657,10.4515,1.1,61.68,False
CTE-000044,malware,10,Critical,endpoint,2,2025-10-17T10:21:00Z,2025-10-17,10,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Support,Brazil,-14.235,-51.9253,United States,37.0902,-95.7129,1.16,63.74,False
CTE-000040,phishing,1,Low,email,1,2025-10-17T12:32:00Z,2025-10-17,12,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Engineering,United States,37.0902,-95.7129,India,20.5937,78.9629,1.05,22.15,False
CTE-000037,phishing,3,Low,email,3,2025-10-17T15:11:00Z,2025-10-17,15,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Sales,Singapore,1.3521,103.8198,India,20.5937,78.9629,1.08,38.99,False
CTE-000041,bruteforce,8,High,auth,3,2025-10-17T15:47:00Z,2025-10-17,15,Credential Access,T1110 - Brute Force,Account Takeover Attempt,VPN Gateway,Finance,United Kingdom,55.3781,-3.436,India,20.5937,78.9629,1.04,58.14,False
CTE-000045,malware,4,Medium,endpoint,3,2025-10-17T16:25:00Z,2025-10-17,16,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Sales,South Africa,-30.5595,22.9375,India,20.5937,78.9629,1.18,49.71,False
CTE-000043,malware,9,Critical,endpoint,5,2025-10-17T18:43:00Z,2025-10-17,18,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Engineering,Russia,61.524,105.3188,United Kingdom,55.3781,-3.436,1.28,72.56,False
CTE-000039,malware,3,Low,endpoint,1,2025-10-17T19:04:00Z,2025-10-17,19,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Support,India,20.5937,78.9629,Germany,51.1657,10.4515,1.1,34.63,False
CTE-000049,ddos,6,Medium,network,2,2025-10-18T01:16:00Z,2025-10-18,1,Impact,T1498 - Network Denial of Service,Service Disruption,Perimeter Gateway,Engineering,China,35.8617,104.1954,Singapore,1.3521,103.8198,1.2,58.05,False
CTE-000053,ransomware,9,Critical,endpoint,6,2025-10-18T03:40:00Z,2025-10-18,3,Impact,T1486 - Data Encrypted for Impact,Data Encryption,File Server,Finance,Russia,61.524,105.3188,Germany,51.1657,10.4515,1.28,69.62,True
CTE-000051,ddos,7,High,network,4,2025-10-18T05:57:00Z,2025-10-18,5,Impact,T1498 - Network Denial of Service,Service Disruption,CDN Edge,Sales,China,35.8617,104.1954,Germany,51.1657,10.4515,1.2,63.21,False
CTE-000057,malware,8,High,endpoint,5,2025-10-18T06:44:00Z,2025-10-18,6,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Engineering,United Arab Emirates,23.4241,53.8478,India,20.5937,78.9629,1.12,70.61,False
CTE-000054,bruteforce,8,High,auth,2,2025-10-18T08:25:00Z,2025-10-18,8,Credential Access,T1110 - Brute Force,Account Takeover Attempt,VPN Gateway,Operations,United Kingdom,55.3781,-3.436,Germany,51.1657,10.4515,1.04,60.55,False
CTE-000050,malware,9,Critical,network,3,2025-10-18T09:52:00Z,2025-10-18,9,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Engineering,Russia,61.524,105.3188,India,20.5937,78.9629,1.28,74.85,False
CTE-000056,ddos,6,Medium,network,5,2025-10-18T12:27:00Z,2025-10-18,12,Impact,T1498 - Network Denial of Service,Service Disruption,CDN Edge,Support,Brazil,-14.235,-51.9253,India,20.5937,78.9629,1.16,51.13,False
CTE-000055,malware,5,Medium,endpoint,3,2025-10-18T12:37:00Z,2025-10-18,12,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Executive,Brazil,-14.235,-51.9253,Singapore,1.3521,103.8198,1.16,53.0,False
CTE-000058,malware,5,Medium,endpoint,1,2025-10-18T20:33:00Z,2025-10-18,20,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Sales,Germany,51.1657,10.4515,United Arab Emirates,23.4241,53.8478,1.03,46.28,False
